record_status,sku,product_name,day_night,color,size,current_inventory,original_list_price,current_actual_price,recent_promotion_price,initial_unit_cost,additional_production_possible,production_moq,unit_cost_by_moq,fabric_moq,printing_processing_moq,trim_moq,lead_time,existing_packaging_cost,new_packaging_cost,shipping_logistics_cost,exchange_defect_reserve,other_variable_cost,source_document,verified_date,notes,p0_product_trim_cost,p1_existing_product_packaging_cost,p2_set_package_cost,p3_experience_insert_cost,p4_fulfillment_packaging_cost,packaging_double_count_status
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-DAY-X1,SWEATSHIRT,DAY,크림,X1,14,129000,99000,99000,35800,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=12; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 18은 REFERENCE ONLY; 현재 실물 수량 14; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-DAY-X2,SWEATSHIRT,DAY,크림,X2,28,129000,99000,99000,35800,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=12; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 20은 REFERENCE ONLY; 현재 실물 수량 28; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-NIGHT-X1,SWEATSHIRT,NIGHT,블랙,X1,27,129000,99000,99000,35800,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=11; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 15는 REFERENCE ONLY; 현재 실물 수량 27; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-NIGHT-X2,SWEATSHIRT,NIGHT,블랙,X2,39,129000,99000,99000,35800,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=11; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 20은 REFERENCE ONLY; 현재 실물 수량 39; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-DAY-X1,T-SHIRT,DAY,화이트,X1,1,79000,59000,59000,21700,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=14; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 22는 REFERENCE ONLY; 현재 실물 수량 1; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-DAY-X2,T-SHIRT,DAY,화이트,X2,4,79000,59000,59000,21700,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=14; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 19는 REFERENCE ONLY; 현재 실물 수량 4; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-NIGHT-X1,T-SHIRT,NIGHT,블랙,X1,6,79000,59000,59000,21700,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=13; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 24는 REFERENCE ONLY; 현재 실물 수량 6; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-NIGHT-X2,T-SHIRT,NIGHT,블랙,X2,5,79000,59000,59000,21700,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=13; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 19는 REFERENCE ONLY; 현재 실물 수량 5; 판매가능 상태·SKU Match 미확정. initial_unit_cost는 2024 과거값이며 2026 현행원가 아님,[TBD],[TBD],[TBD],[TBD],[TBD],과거 생산단가의 포장 650원은 ALREADY INCLUDED / 역할 UNKNOWN; P1·P3·P4와 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,CAP-DAY-OS-WORKING,CAP,DAY,화이트,ONE SIZE / 2024 M,0,75000,55000,55000,22000,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],https://www.xxxstudio.co.kr/35/?idx=16; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 5는 REFERENCE ONLY이며 현재 물리재고는 사용자 확인 0. M은 2024 공급처·생산 메타데이터이고 현재 Reward 옵션은 ONE SIZE 작업 기준. 과거 D2C 가격과 2024 구두 단가는 2026 현행값이 아님,[TBD],[TBD],[TBD],[TBD],[TBD],CAP 2024 구두 단가의 포장 포함 범위 미확인; P1·P4 자동 합산 금지
PARTIAL / D2C REFERENCE / PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,CAP-NIGHT-OS-WORKING,CAP,NIGHT,블랙,ONE SIZE / 2024 L,0,75000,55000,55000,22000,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],https://www.xxxstudio.co.kr/35/?idx=15; PRODUCT_EVIDENCE_REGISTER.md; CURRENT_INVENTORY_USER_CHECK.md,2026-08-14,D2C 시스템 수량 5는 REFERENCE ONLY이며 현재 물리재고는 사용자 확인 0. L은 2024 공급처·생산 메타데이터이고 현재 Reward 옵션은 ONE SIZE 작업 기준. 과거 D2C 가격과 2024 구두 단가는 2026 현행값이 아님,[TBD],[TBD],[TBD],[TBD],[TBD],CAP 2024 구두 단가의 포장 포함 범위 미확인; P1·P4 자동 합산 금지
