record_status,sku,product_name,day_night,color,size,current_inventory,inventory_reserved_for_wadiz,fast_delivery_quantity,preorder_quantity,additional_production_possible,production_moq,unit_cost_by_moq,fabric_trim_reproducible,lead_time,defect_reserve_quantity,delivery_group,production_vendor,source_document,verified_date,risk_notes
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-DAY-X1,SWEATSHIRT,DAY,크림,X1,14,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=12; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 18은 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-DAY-X2,SWEATSHIRT,DAY,크림,X2,28,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=12; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 20은 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-NIGHT-X1,SWEATSHIRT,NIGHT,블랙,X1,27,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=11; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 15는 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,SWEAT-NIGHT-X2,SWEATSHIRT,NIGHT,블랙,X2,39,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=11; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 20은 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-DAY-X1,T-SHIRT,DAY,화이트,X1,1,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=14; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 22는 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-DAY-X2,T-SHIRT,DAY,화이트,X2,4,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=14; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 19는 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-NIGHT-X1,T-SHIRT,NIGHT,블랙,X1,6,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=13; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 24는 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING,TSHIRT-NIGHT-X2,T-SHIRT,NIGHT,블랙,X2,5,[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],[TBD],FACTORY UNICORN,USER-CONFIRMED CURRENT PHYSICAL COUNT 2026-08-14; https://www.xxxstudio.co.kr/35/?idx=13; CURRENT_INVENTORY_USER_CHECK.md; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 수량 19는 REFERENCE ONLY; 판매가능 상태·SKU Match·현행 MOQ·단가·납기 미확정
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING / PRE-ORDER PRODUCTION REQUIRED,CAP-DAY-OS-WORKING,CAP,DAY,화이트,ONE SIZE / 2024 M,0,0,0,[TBD],YES IF OFFERED,[TBD],[TBD],[TBD],[TBD],[TBD],CAP 생산 완료 후 합배송 후보,전설의 모자왕 G14 + 박선규 자수,사용자 2026-08-12 정정; https://www.xxxstudio.co.kr/35/?idx=16; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 5는 REFERENCE ONLY; 현재 물리재고 0; 소비자 ONE SIZE 작업 기준; 2024 M은 생산 메타데이터; 현행 동일 베이스·완성 실측·MOQ·단가·납기 확인 필요
PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING / PRE-ORDER PRODUCTION REQUIRED,CAP-NIGHT-OS-WORKING,CAP,NIGHT,블랙,ONE SIZE / 2024 L,0,0,0,[TBD],YES IF OFFERED,[TBD],[TBD],[TBD],[TBD],[TBD],CAP 생산 완료 후 합배송 후보,전설의 모자왕 G14 + 박선규 자수,사용자 2026-08-12 정정; https://www.xxxstudio.co.kr/35/?idx=15; CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,2026-08-14,D2C 시스템 5는 REFERENCE ONLY; 현재 물리재고 0; 소비자 ONE SIZE 작업 기준; 2024 L은 생산 메타데이터; 현행 동일 베이스·완성 실측·MOQ·단가·납기 확인 필요
