asset_id,file_path,file_name,file_type,category,scene,description,resolution,duration,quality_score,brand_fit_score,usage_priority,recommended_section,usage_role,issues,ai_edit_needed,notes,status,review_status,creative_grade,review_summary,reviewed_at,commercial_clearance,clearance_basis
AST-0001,02_WORKING(작업중)/06_PROTOTYPE(상세페이지_시안)/xxxstudio_wadiz_story_mockup.html,xxxstudio_wadiz_story_mockup.html,html,프로토타입,PROJECT,기존 와디즈 상세페이지 프로토타입 원본,HTML / 820 px 레이아웃,N/A — 프로토타입,MEDIUM,MEDIUM — 구조 참고,UNREVIEWED,PROJECT REFERENCE,PROTOTYPE REFERENCE,[PROJECT REFERENCE] 누락 참조 6개가 있어 그대로 재사용 불가. 상품·스펙·IShowSpeed·Reward 문구는 현재 Source Required 또는 미승인 상태.,NO — HTML 수정·AI 생성 없이 참고 구조만 보존.,기존 원본을 수정하지 않고 보존,UNREVIEWED,REVIEWED,C,"실제 확인: Invitation → DAY/NIGHT → Design → Product → People → Package → WADIZ 흐름을 가진 과거 HTML 목업이다. 레이아웃 리듬과 Invitation 시작 구조는 참고 가능하나, 누락 이미지 6개·미확정 제품군·IShowSpeed 서술·미승인 세트/혜택 가정을 포함해 최종 Story나 구현물로 승격하지 않는다. [활용 방향: PRESERVE AS REFERENCE]",2026-08-10,UNKNOWN,UNKNOWN
AST-0002,02_WORKING(작업중)/01_STORY(스토리_작업)/xxxstudio_wadiz_storyboard.png,xxxstudio_wadiz_storyboard.png,image,스토리보드,PROJECT,기존 와디즈 세로형 스토리보드 원본,PNG 스토리보드 / 세로형,N/A — 스토리보드,MEDIUM,MEDIUM — 구조 참고,UNREVIEWED,PROJECT REFERENCE,STORYBOARD REFERENCE,[PROJECT REFERENCE] 현재 Master Plan 이전의 가정과 미확정 카피를 포함한다.,NO — 스토리보드 수정·AI 생성 없이 참고 기록으로만 유지.,기존 원본을 수정하지 않고 보존,UNREVIEWED,REVIEWED,C,"실제 확인: Invitation, 제품, DAY/NIGHT, Package, CTA를 좁은 세로 화면에 배열한 과거 Storyboard다. 장면의 순서와 모바일 길이 감각은 참고 가능하지만, 현재 자산 등급·권리·제품 SKU·오퍼 승인을 반영하지 않아 최종 Story로 사용하지 않는다. [활용 방향: PRESERVE AS REFERENCE]",2026-08-10,UNKNOWN,UNKNOWN
AST-0003,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT) KOREA TOUR_DAY&NIGHT(기본).ai,PROJECT) KOREA TOUR_DAY&NIGHT(기본).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / COLLECTION IDENTITY,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 모바일 가독성 점검,로고·도시코드 아이덴티티. +82·DAY/NIGHT·SEOUL과 한글 획 기반 바 시스템을 결합한 대표 표식.,A,REVIEWED,A,로고·도시코드 아이덴티티. +82·DAY/NIGHT·SEOUL과 한글 획 기반 바 시스템을 결합한 대표 표식.,2026-08-09,,UNKNOWN
AST-0004,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT) KOREA TOUR_DAY&NIGHT(기본_세로).ai,PROJECT) KOREA TOUR_DAY&NIGHT(기본_세로).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,A,HERO / COLLECTION IDENTITY,HERO / NARRATIVE,실제 파일 프리뷰 확인 완료.,YES - 모바일 가독성 점검,로고·도시코드 아이덴티티. +82·DAY/NIGHT·SEOUL과 한글 획 기반 바 시스템을 결합한 대표 표식.,A,REVIEWED,A,로고·도시코드 아이덴티티. +82·DAY/NIGHT·SEOUL과 한글 획 기반 바 시스템을 결합한 대표 표식.,2026-08-09,,UNKNOWN
AST-0005,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT) KOREA TOUR_DAY(기본).ai,PROJECT) KOREA TOUR_DAY(기본).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0006,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT) KOREA TOUR_NIGHT(기본).ai,PROJECT) KOREA TOUR_NIGHT(기본).ai,ai,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,HIGH,HIGH,B,KOREA TOUR INTRO,SUPPORT,실제 파일 프리뷰 확인 완료.,NO,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,B,REVIEWED,B,로고·도시코드 아이덴티티. DAY/NIGHT 또는 Korea Tour 시스템의 보조 변형.,2026-08-09,,UNKNOWN
AST-0007,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT)-KOREA-TOUR_DAY&NIGHT(기본).png,PROJECT)-KOREA-TOUR_DAY&NIGHT(기본).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
AST-0008,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT)-KOREA-TOUR_DAY&NIGHT(기본_세로).png,PROJECT)-KOREA-TOUR_DAY&NIGHT(기본_세로).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
AST-0009,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT)-KOREA-TOUR_DAY(기본).png,PROJECT)-KOREA-TOUR_DAY(기본).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
AST-0010,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트)/collection_identity/logo_1080/PROJECT)-KOREA-TOUR_NIGHT(기본).png,PROJECT)-KOREA-TOUR_NIGHT(기본).png,png,컬렉션 아이덴티티,SEOUL_DAY_NIGHT,승인된 COPY PLAN에 따라 복사한 원본 사본. 심층 품질 평가는 아직 진행하지 않음.,UNREVIEWED,UNREVIEWED,DERIVED / EXCLUDED,N/A,EXCLUDE,ARCHIVE ONLY,EXCLUDE,"원본 보존, 상세페이지 사용 제외.",NO,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,EXCLUDE,REVIEWED,EXCLUDE,로고·도시코드 아이덴티티. 동일 디자인의 PNG·PSD 산출물 또는 근접 파생본. 편집 원본과 연결해 원본만 우선 사용.,2026-08-09,,UNKNOWN
