asset_id,source_path,target_path,sha256,copy_status,review_status,creative_grade,notes
AST-0783,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/1) 모자_DAY_앞(배경).png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/day/1) 모자_DAY_앞(배경).png",e2dba8e2f0095a00e5b2f9371c94e1c646ec9d8f8e50412329b73601ed51b8b4,SUCCESS,REVIEWED,A,DAY 전면 제품 증거
AST-0784,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/2) 모자_DAY_45.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/day/2) 모자_DAY_45.png",6054e88acd6293229be2b2f1f550c0ca049c1796b0889398aaf31225e4153606,SUCCESS,REVIEWED,A,DAY 전면·측면 제품 증거
AST-0785,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/3) 모자_DAY_기움.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/day/3) 모자_DAY_기움.png",ab37995b09bf2d8f5642508da0804ef1f6ca0c2db2663c7c69b6b292b9ca14f1,SUCCESS,REVIEWED,B,DAY 측면 자수 증거
AST-0786,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/4) 모자_DAY_뒤.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/day/4) 모자_DAY_뒤.png",541a05ca3add79ed9a09cdf9444877ee945e849e9e2373f62c85d9effa21603a,SUCCESS,REVIEWED,B,DAY 후면 자수 증거
AST-0787,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/1) 모자_NIGHT_앞(배경).png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/night/1) 모자_NIGHT_앞(배경).png",0bfd975899637e61ba262ed8f98eba9e44187d36e22da40828ffd6bcbeac920f,SUCCESS,REVIEWED,A,NIGHT 전면 제품 증거
AST-0788,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/2) 모자_NIGHT_45.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/night/2) 모자_NIGHT_45.png",f486d8461178ee58669da24e7714cb2f2736313c4f6bbc64ad05642e64a5f2b4,SUCCESS,REVIEWED,A,NIGHT 전면·측면 제품 증거
AST-0789,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/3) 모자_NIGHT.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/night/3) 모자_NIGHT.png",855d0265cde2e076c19266d068a231f02f34128e968b6f43fd26ecb62082277d,SUCCESS,REVIEWED,B,NIGHT 측면 자수 증거
AST-0790,"/Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/4) 모자_NIGHT_뒤.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/night/4) 모자_NIGHT_뒤.png",060c5570b77f4738f4c89cf695e2aa393a09c41c9fdd739e626ace433c07165a,SUCCESS,REVIEWED,B,NIGHT 후면 자수 증거
AST-0791,"/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/자수) XXX STUDIO_KOREA TOUR_SEOUL_CAP(아트워크)_수정본.ai","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/artwork/자수) XXX STUDIO_KOREA TOUR_SEOUL_CAP(아트워크)_수정본.ai",adabb78ca52a9eb06b30dc54e5f948a6c984aa287922c61916ab11bb2dec7d2f,SUCCESS,REVIEWED,A,최종 자수 편집 원본
AST-0792,"/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/자수)-XXX-STUDIO_KOREA-TOUR_SEOUL_CAP(아트워크)_수정본.png","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/artwork/자수)-XXX-STUDIO_KOREA-TOUR_SEOUL_CAP(아트워크)_수정본.png",38bb7cb0983682f6569426fac93956b23cd1d609231b0b2f8eac62160cfaed68,SUCCESS,REVIEWED,EXCLUDE,AST-0791 파생 미리보기
AST-0793,"/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/작업지시서) XXX STUDIO_KOREA TOUR_SEOUL_CAP(DAY).xlsx","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/production_sources/작업지시서) XXX STUDIO_KOREA TOUR_SEOUL_CAP(DAY).xlsx",3bf86d98941f40511c92140e7680a76e46fcb254e7542ece98fd08cd9f1eddef,SUCCESS,REVIEWED,HOLD,자수 위치 근거·베이스 사양 일부 대체됨
AST-0794,"/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/작업지시서) XXX STUDIO_KOREA TOUR_SEOUL_CAP(NIGHT)_수정본.xlsx","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/production_sources/작업지시서) XXX STUDIO_KOREA TOUR_SEOUL_CAP(NIGHT)_수정본.xlsx",aba955cc5c59cc939d5796a0345adf306db5f16aea2d95484d03dba4c402048a,SUCCESS,REVIEWED,HOLD,최종 NIGHT 자수 위치 근거·베이스 사양 일부 대체됨
AST-0795,"/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/라벨) 서울_모자_메인라벨.ai","01_INPUT(입력_원본)/05_PRODUCTS(제품)/caps/label/라벨) 서울_모자_메인라벨.ai",cc5814daa38909d007c6c9e15f28626aeff3780b8634724277e055029bd0ee74,SUCCESS,REVIEWED,B,메인 라벨 편집 원본
